Title,Year,Genre,Director,Cast,Runtime,Rating
1,2013,Horror,Dennis Iliadis,Rhys Wakefield,95,5.22543
10,1979,Romance,Blake Edwards,Dudley Moore,118,4.01038
12,2007,Drama,Nikita Mikhalkov,Sergey Makovetskiy,180,6.70376
13,2011,Drama,Gla Babluani,Sam Riley,97,8.24409
21,2008,Drama,Robert Luketic,Jim Sturgess,122,6.78188
31,2016,Horror,Rob Zombie,Sheri Moon Zombie,103,6.81702
42,2013,Drama,Brian Helgeland,Chadwick Boseman,128,5.00235
54,1998,Drama,Mark Christopher,Ryan Phillippe,92,9.38402
211,2018,Action,York Alec Shackleton,Nicolas Cage,83,3.36283
300,2007,Action,Zack Snyder,Gerard Butler,116,9.84448
360,2012,Romance,Fernando Meirelles,Jude Law,115,3.54409
808,2015,Documentary,Alex Dunn,Damon Albarn,94,4.73901
1408,2007,Horror,Mikael Hfstrm,John Cusack,94,2.29755
1776,1972,Classics,Peter H. Hunt,William Daniels,140,8.61163
1911,2011,Drama,Jackie Chan,Jackie Chan,125,5.25436
1922,2017,Drama,Zak Hilditch,Thomas Jane,101,8.12539
1941,1979,Action,Steven Spielberg,Dan Aykroyd,119,5.91834
1982,2013,Drama,Tommy Oliver,Hill Harper,86,1.36903
2010,1984,Mystery,Peter Hyams,Roy Scheider,114,7.71807
2012,2009,Action,Roland Emmerich,John Cusack,158,4.10659
2012,2009,Drama,Roland Emmerich,John Cusack,158,4.10659
2012,2009,Mystery,Roland Emmerich,John Cusack,158,4.10659
2012,2009,SciFi,Roland Emmerich,John Cusack,158,4.10659
40858,2011,Drama,Darren Lynn Bousman,Timothy Gibbs,95,4.03015
40858,2011,Horror,Darren Lynn Bousman,Timothy Gibbs,95,4.03015
45860,2018,Drama,Paul Greengrass,Anders Danielsen Lie,143,1.63618
45911,2017,Drama,Martin Guigui,Charlie Sheen,94,1.84997
!Women Art Revolution,2011,Documentary,Lynn Hershman-Leeson,Judy Chicago,83,1.02851
#Horror,2015,Horror,Tara Subkoff,Sadie Seelert,90,2.01799
$ (Dollars) (The Heist),1971,Classics,Richard Brooks,Warren Beatty,122,2.72902
$ (Dollars) (The Heist),1971,Drama,Richard Brooks,Warren Beatty,122,2.72902
$ellebrity,2013,Documentary,Kevin Mazur,Elton John,89,8.2292
*batteries not included,1987,Comedy,Matthew Robbins,Hume Cronyn,107,7.50135
*batteries not included,1987,Kids&Family,Matthew Robbins,Hume Cronyn,107,7.50135
*batteries not included,1987,SciFi,Matthew Robbins,Hume Cronyn,107,7.50135
...And God Spoke (The Making of '...And God Spoke'),1994,Documentary,Arthur Borman,Michael Riley,82,9.47426
...And Justice for All,1979,Drama,Norman Jewison,Al Pacino,119,2.46467
...And Justice for All,1979,Mystery,Norman Jewison,Al Pacino,119,2.46467
...So Goes the Nation,2006,Documentary,Adam Del Deo,Paul Begala,90,6.06168
[Rec],2007,Art&Foreign,Jaume Balaguer,Manuela Velasco,78,5.07463
[Rec],2007,Horror,Jaume Balaguer,Manuela Velasco,78,5.07463
[Rec] 2,2010,Drama,Paca Plaza,Jonathan Mellor,84,5.90872
[Rec] 2,2010,Horror,Paca Plaza,Jonathan Mellor,84,5.90872
[Rec] 2,2010,Mystery,Paca Plaza,Jonathan Mellor,84,5.90872
[REC] 3 Genesis,2012,Art&Foreign,Paco Plaza,Leticia Dolera,80,4.57546
[REC] 3 Genesis,2012,Drama,Paco Plaza,Leticia Dolera,80,4.57546
[REC] 3 Genesis,2012,Horror,Paco Plaza,Leticia Dolera,80,4.57546
[REC] 3 Genesis,2012,Mystery,Paco Plaza,Leticia Dolera,80,4.57546
[REC] 4: Apocalypse,2015,Art&Foreign,Jaume Balaguer,Manuela Velasco,96,6.6154
[REC] 4: Apocalypse,2015,Drama,Jaume Balaguer,Manuela Velasco,96,6.6154
[REC] 4: Apocalypse,2015,Horror,Jaume Balaguer,Manuela Velasco,96,6.6154
1 Night (One Night),2017,Drama,Minhal Baig,Anna Camp,80,2.29632
1 Night (One Night),2017,Romance,Minhal Baig,Anna Camp,80,2.29632
1000 Times Good Night,2014,Drama,Erik Poppe,Juliette Binoche,117,4.80515
10 Cent Pistol,2015,Drama,Michael C. Martin,Damon Alexander,91,4.55175
